"log_date"	"app_name"	"user_id"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"
"2013-10-31"	"game-01"	978944	0	2	0	0	3	1	39	4.33	98	90	0	0	5	5	6	1	3	3	0	0	0	0	1	0	0.81818	0.92857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0.85556	1	5	9114	13155	14	8	9	0	0	11
"2013-10-31"	"game-01"	325681	0	0	0	0	3	0	0	0	111	32	0	0	31	5	5	8	2	6	0	0	0	0	0	0	0.875	0.88288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.8125	4	4	33757	6625	15	3	0	1	1	36
"2013-10-31"	"game-01"	761889	0	0	0	0	0	0	0	0	44	0	0	0	6	3	4	0	0	0	0	0	0	0	0	0	0.84615	0.86364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11256	12115	5	0	0	0	0	45
"2013-10-31"	"game-01"	737893	0	0	0	0	4	0	64	32	190	130	0	0	34	8	10	13	3	6	0	0	0	0	0	0.5	0.90244	0.92105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0.93077	24	25	47328	4870	21	4	2	0	0	60
"2013-10-31"	"game-01"	343705	0	0	0	0	6	1	67	16.75	381	190	34	9	12	12	15	29	12	10	0	1	0	0	1	0	0.80263	0.89764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0.85263	33	34	160568	504	42	12	4	0	0	249
"2013-10-31"	"game-01"	423471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4603	16351	0	0	0	0	0	23
"2013-10-31"	"game-01"	196861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1685	20796	0	0	0	0	0	4
"2013-10-31"	"game-01"	231313	0	0	0	0	0	0	0	0	14	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4951	16006	2	2	0	0	0	8
"2013-10-31"	"game-01"	219501	0	1	0	0	0	0	0	0	90	0	0	0	13	1	2	0	0	3	0	1	0	0	0	0	0.92857	0.87778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3373	17763	9	0	0	0	0	82
"2013-10-31"	"game-01"	827371	0	0	0	0	7	0	0	0	224	140	37	6	14	6	8	29	6	5	0	0	0	0	0	0	0.96364	0.92411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0.90714	37	37	119637	1102	23	1	0	0	0	201
"2013-10-31"	"game-01"	267118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	808	23249	0	0	0	0	0	17
"2013-10-31"	"game-01"	601292	0	0	0	0	1	1	87	6.69	26	66	0	0	3	1	2	5	1	1	0	1	0	0	1	0	0.76471	0.76923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0.89394	10	10	12251	11695	4	4	13	1	1	9
"2013-10-31"	"game-01"	401184	0	0	0	0	8	1	0	0	282	160	23	3	90	15	16	18	5	8	0	0	0	0	0	0	0.93103	0.96454	0	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	16	0.7625	23	23	166560	452	32	12	0	0	0	82
"2013-10-31"	"game-01"	108270	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26757	7784	0	0	0	0	0	12
"2013-10-31"	"game-01"	160410	0	0	0	0	4	0	0	0	74	60	0	0	4	4	4	4	3	4	0	1	0	0	0	0	0.88889	0.90541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0.88333	19	19	14692	10774	9	2	0	0	0	82
"2013-10-31"	"game-01"	229743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3782	17200	0	0	0	0	0	26
"2013-10-31"	"game-01"	611797	0	2	0	0	2	0	0	0	25	90	0	0	3	2	2	2	1	0	0	0	0	0	0	0	1	0.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0.93333	20	20	1433	21358	3	0	0	0	0	82
"2013-10-31"	"game-01"	633171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6933	14470	0	0	0	0	0	10
"2013-10-31"	"game-01"	698195	0	0	0	0	5	1	0	0	290	80	35	6	28	15	15	31	6	12	2	0	0	0	1	0	0.87931	0.84828	0	0	0	0	0	0	0	0	0	3100	0	0	0	2100	0	0	8	0.9375	35	35	211428	209	33	11	0	0	0	265
"2013-10-31"	"game-01"	871680	0	0	0	0	6	0	0	0	179	200	16	1	0	3	6	17	5	6	0	0	0	0	0	0	0.9697	0.91061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0.815	15	16	66272	3359	20	7	0	0	0	79
"2013-10-31"	"game-01"	961391	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6377	14851	0	0	0	0	0	52
"2013-10-31"	"game-01"	69575	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19905	9181	0	0	0	0	0	108
"2013-10-31"	"game-01"	406537	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2451	19244	0	0	0	0	0	41
"2013-10-31"	"game-01"	922114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7536	14058	0	0	0	0	0	11
"2013-10-31"	"game-01"	255172	0	0	0	0	3	2	142	4.73	48	112	0	0	0	3	4	9	5	3	0	1	0	0	1	0.03333	0.88889	0.85417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0.89286	15	16	15736	10461	8	4	30	0	0	38
"2013-10-31"	"game-01"	777158	0	0	0	0	6	0	42	21	331	140	33	7	13	17	18	19	8	11	0	1	0	0	0	0	0.92188	0.94562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0.94286	33	33	110691	1353	38	13	2	1	0.95	138
"2013-10-31"	"game-01"	400406	0	0	0	0	2	0	32	16	64	80	20	2	7	3	3	4	3	2	0	0	0	0	0	0	1	0.95313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0.8375	20	20	6811	14552	10	7	2	0	0	104
"2013-10-31"	"game-01"	955860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	25715	0	0	0	0	0	3
"2013-10-31"	"game-01"	178276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22937	8476	0	0	0	0	0	49
"2013-10-31"	"game-01"	927801	0	1	0	0	5	0	8	8	171	112	0	0	1	5	5	12	4	5	0	1	0	0	0	0	0.86957	0.91813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0.86607	17	18	40359	5735	18	0	1	0	0	25
"2013-10-31"	"game-01"	742696	0	0	0	0	3	0	0	0	73	50	0	0	16	4	5	13	2	3	0	0	0	0	0	0	1	0.9589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.84	29	29	44571	5187	10	6	0	0	0	99
"2013-10-31"	"game-01"	648227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8299	13605	0	0	0	0	0	86
"2013-10-31"	"game-01"	111311	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10405	12505	0	0	0	0	0	26
"2013-10-31"	"game-01"	215714	0	0	0	0	12	2	151	50.33	292	220	35	5	12	7	7	30	7	12	0	0	0	0	1	0.33333	0.93333	0.91096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0.84091	34	35	151889	591	31	6	3	0	0	82
"2013-10-31"	"game-01"	598979	0	1	0	0	0	0	0	0	20	60	18	1	1	4	4	3	5	0	0	1	0	0	2	0	1	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0.76667	18	18	6684	14650	4	3	0	0	0	6
"2013-10-31"	"game-01"	491502	0	0	0	0	4	1	0	0	115	150	0	0	0	2	3	15	4	4	0	0	0	0	1	0	0.96296	0.93043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0.80667	25	26	46892	4920	13	5	0	0	0	59
"2013-10-31"	"game-01"	31580	0	0	0	0	0	1	0	0	154	220	34	5	0	5	6	31	6	0	0	0	0	0	1	0	1	0.94156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0.82273	33	34	131274	860	16	2	0	0	0	179
"2013-10-31"	"game-01"	127352	0	0	0	0	2	0	0	0	52	80	0	0	2	2	3	9	2	3	0	0	0	0	0	0	0.75	0.82692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0.8625	24	24	14400	10877	8	4	0	0	0	55
"2013-10-31"	"game-01"	927126	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17665	9852	0	0	0	0	0	106
"2013-10-31"	"game-01"	134346	0	0	0	0	1	0	0	0	35	20	33	1	3	3	3	7	1	1	0	1	0	0	0	0	0.88889	0.82857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.9	33	33	5847	15245	4	1	0	0	0	173
"2013-10-31"	"game-01"	92249	0	0	0	0	11	1	0	0	216	190	41	5	64	15	16	29	5	5	0	0	0	0	1	0	1	0.99537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0.98421	41	41	196822	257	25	9	0	0	0	318
"2013-10-31"	"game-01"	517662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7476	14105	0	0	0	0	0	13
"2013-10-31"	"game-01"	46078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21745	8714	0	0	0	0	0	136
"2013-10-31"	"game-01"	310381	0	1	0	0	1	0	0	0	22	25	0	0	3	3	3	4	3	1	0	1	0	0	0	0	1	0.90909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.92	7	7	3345	17800	4	1	0	0	0	3
